name,time,application,num_replicas,batch_size,duration,num_task
inference-cifar10-82,252,infer-cifar10-2,1,1,7.0,1878
inference-yolov3-83,255,infer-yolov3-2,1,1,14.0,1520
inference-bert-84,256,infer-bert-3,1,1,19.0,1536
inference-deepspeech2-85,259,infer-deepspeech2-3,1,1,14.0,701
deepspeech2-3,262,deepspeech2,12,640,4.0,-1
inference-ncf-86,265,infer-ncf-3,1,1,2.0,192
inference-deepspeech2-87,273,infer-deepspeech2-2,1,1,3.0,630
inference-ncf-88,278,infer-ncf-2,1,1,19.0,585
inference-yolov3-89,284,infer-yolov3-3,1,1,19.0,1635
inference-bert-90,287,infer-bert-2,1,1,12.0,956
inference-deepspeech2-91,289,infer-deepspeech2-2,1,1,2.0,963
inference-imagenet-92,291,infer-imagenet-3,1,1,3.0,4171
inference-ncf-93,292,infer-ncf-3,1,1,17.0,2107
inference-imagenet-94,294,infer-imagenet-3,1,1,13.0,9648
inference-yolov3-95,295,infer-yolov3-2,1,1,13.0,4880
inference-deepspeech2-96,296,infer-deepspeech2-1,1,1,1.0,232
inference-bert-97,298,infer-bert-2,1,1,2.0,388
inference-bert-98,304,infer-bert-2,1,1,5.0,4835
inference-yolov3-99,311,infer-yolov3-3,1,1,15.0,3593
inference-imagenet-100,317,infer-imagenet-1,1,1,1.0,2465
inference-ncf-101,319,infer-ncf-2,1,1,18.0,2357
inference-imagenet-102,321,infer-imagenet-3,1,1,9.0,7792
inference-bert-103,325,infer-bert-2,1,1,15.0,872
inference-yolov3-104,327,infer-yolov3-3,1,1,14.0,3954
inference-cifar10-105,330,infer-cifar10-3,1,1,13.0,963
inference-bert-106,333,infer-bert-1,1,1,3.0,584
inference-yolov3-107,339,infer-yolov3-2,1,1,19.0,178
inference-bert-108,340,infer-bert-1,1,1,9.0,4215
inference-ncf-109,342,infer-ncf-2,1,1,16.0,3989
inference-ncf-110,347,infer-ncf-2,1,1,8.0,2982
inference-ncf-111,347,infer-ncf-1,1,1,3.0,3388
inference-yolov3-112,350,infer-yolov3-2,1,1,14.0,2114
inference-ncf-114,352,infer-ncf-1,1,1,18.0,639
inference-bert-113,352,infer-bert-3,1,1,14.0,3258
inference-deepspeech2-115,354,infer-deepspeech2-3,1,1,14.0,988
inference-cifar10-116,355,infer-cifar10-1,1,1,1.0,3253
cifar10-4,356,cifar10,16,4096,4.0,-1
inference-imagenet-117,362,infer-imagenet-2,1,1,14.0,3278
inference-yolov3-118,363,infer-yolov3-1,1,1,14.0,1341
inference-ncf-119,364,infer-ncf-3,1,1,15.0,202
inference-yolov3-120,364,infer-yolov3-2,1,1,15.0,4639
inference-yolov3-121,372,infer-yolov3-1,1,1,19.0,1087
inference-imagenet-122,372,infer-imagenet-3,1,1,16.0,8106
inference-cifar10-123,380,infer-cifar10-3,1,1,1.0,2735
inference-bert-124,380,infer-bert-2,1,1,14.0,303
inference-cifar10-125,392,infer-cifar10-2,1,1,16.0,5571
inference-bert-126,394,infer-bert-2,1,1,9.0,1080
inference-bert-127,400,infer-bert-3,1,1,17.0,1739
inference-imagenet-128,403,infer-imagenet-3,1,1,1.0,6402
inference-yolov3-129,403,infer-yolov3-1,1,1,3.0,1096
inference-yolov3-130,406,infer-yolov3-1,1,1,14.0,3286
inference-ncf-131,406,infer-ncf-1,1,1,17.0,2222
inference-yolov3-132,407,infer-yolov3-1,1,1,7.0,3228
inference-yolov3-133,407,infer-yolov3-1,1,1,9.0,3654
inference-ncf-134,415,infer-ncf-2,1,1,15.0,4613
inference-cifar10-135,415,infer-cifar10-2,1,1,17.0,9122
inference-imagenet-136,419,infer-imagenet-3,1,1,4.0,9376
inference-bert-137,427,infer-bert-2,1,1,3.0,4526
inference-bert-138,429,infer-bert-3,1,1,5.0,4295
inference-imagenet-139,432,infer-imagenet-2,1,1,11.0,2806
inference-cifar10-140,435,infer-cifar10-2,1,1,18.0,722
inference-deepspeech2-141,436,infer-deepspeech2-3,1,1,16.0,584
inference-yolov3-142,438,infer-yolov3-3,1,1,12.0,2858
inference-yolov3-143,439,infer-yolov3-1,1,1,7.0,1080
inference-ncf-144,445,infer-ncf-1,1,1,17.0,640
inference-ncf-145,448,infer-ncf-1,1,1,9.0,1395
inference-yolov3-146,449,infer-yolov3-2,1,1,1.0,1675
inference-ncf-147,452,infer-ncf-1,1,1,6.0,3432
inference-yolov3-148,459,infer-yolov3-3,1,1,14.0,199
inference-ncf-149,460,infer-ncf-2,1,1,16.0,202
inference-deepspeech2-150,466,infer-deepspeech2-3,1,1,19.0,226
inference-deepspeech2-151,469,infer-deepspeech2-1,1,1,16.0,259
inference-deepspeech2-152,476,infer-deepspeech2-2,1,1,19.0,784
inference-yolov3-153,478,infer-yolov3-3,1,1,16.0,3654
inference-imagenet-154,480,infer-imagenet-2,1,1,7.0,2313
inference-cifar10-155,480,infer-cifar10-2,1,1,4.0,3867
inference-cifar10-156,484,infer-cifar10-3,1,1,7.0,8956
inference-ncf-157,484,infer-ncf-2,1,1,16.0,360
inference-ncf-158,485,infer-ncf-1,1,1,15.0,2445
inference-ncf-159,487,infer-ncf-3,1,1,9.0,2119
inference-ncf-160,492,infer-ncf-3,1,1,4.0,4247
inference-deepspeech2-161,505,infer-deepspeech2-1,1,1,16.0,431
inference-yolov3-162,510,infer-yolov3-3,1,1,9.0,403
inference-deepspeech2-163,511,infer-deepspeech2-3,1,1,4.0,762
inference-yolov3-164,527,infer-yolov3-1,1,1,16.0,4165
inference-yolov3-165,528,infer-yolov3-3,1,1,14.0,1341
inference-bert-166,532,infer-bert-2,1,1,18.0,701
inference-imagenet-167,538,infer-imagenet-1,1,1,1.0,9984
inference-cifar10-168,545,infer-cifar10-1,1,1,9.0,2483
inference-cifar10-169,547,infer-cifar10-2,1,1,7.0,4022
inference-bert-170,552,infer-bert-3,1,1,4.0,4295
inference-deepspeech2-171,558,infer-deepspeech2-1,1,1,8.0,762
inference-imagenet-172,563,infer-imagenet-1,1,1,16.0,7344
inference-ncf-173,564,infer-ncf-3,1,1,18.0,1010
inference-bert-174,568,infer-bert-2,1,1,14.0,4030
inference-imagenet-175,568,infer-imagenet-3,1,1,19.0,3278
inference-cifar10-176,578,infer-cifar10-1,1,1,11.0,895
inference-yolov3-177,582,infer-yolov3-3,1,1,8.0,118
inference-yolov3-178,583,infer-yolov3-2,1,1,7.0,3654
inference-bert-179,583,infer-bert-2,1,1,5.0,1317
inference-deepspeech2-180,584,infer-deepspeech2-3,1,1,3.0,153
inference-deepspeech2-181,588,infer-deepspeech2-2,1,1,4.0,433
inference-yolov3-182,590,infer-yolov3-1,1,1,12.0,4165
inference-cifar10-184,592,infer-cifar10-1,1,1,12.0,2057
inference-imagenet-183,592,infer-imagenet-3,1,1,1.0,787
inference-bert-185,593,infer-bert-3,1,1,19.0,4295
inference-imagenet-186,594,infer-imagenet-1,1,1,13.0,9039
inference-imagenet-187,595,infer-imagenet-3,1,1,3.0,9125
inference-yolov3-188,598,infer-yolov3-3,1,1,8.0,2157
inference-imagenet-189,599,infer-imagenet-1,1,1,3.0,7792
inference-deepspeech2-190,599,infer-deepspeech2-3,1,1,15.0,507
inference-imagenet-192,602,infer-imagenet-2,1,1,5.0,787
inference-imagenet-191,602,infer-imagenet-1,1,1,18.0,4963
inference-cifar10-193,611,infer-cifar10-2,1,1,16.0,5968
inference-bert-194,617,infer-bert-3,1,1,8.0,584
inference-ncf-195,620,infer-ncf-3,1,1,13.0,137
inference-deepspeech2-196,620,infer-deepspeech2-3,1,1,3.0,955
inference-bert-197,621,infer-bert-1,1,1,9.0,4827
inference-cifar10-198,624,infer-cifar10-3,1,1,7.0,8833
inference-ncf-199,631,infer-ncf-2,1,1,18.0,500
inference-imagenet-200,634,infer-imagenet-3,1,1,7.0,2465
inference-imagenet-201,634,infer-imagenet-2,1,1,9.0,8572
inference-ncf-202,639,infer-ncf-1,1,1,4.0,1400
inference-cifar10-203,639,infer-cifar10-3,1,1,7.0,2044
inference-yolov3-204,642,infer-yolov3-3,1,1,16.0,3308
inference-yolov3-205,643,infer-yolov3-2,1,1,14.0,4868
inference-yolov3-206,647,infer-yolov3-3,1,1,17.0,1981
inference-imagenet-207,650,infer-imagenet-3,1,1,4.0,387
inference-bert-208,654,infer-bert-2,1,1,10.0,4075
inference-bert-210,658,infer-bert-3,1,1,8.0,4048
inference-bert-209,658,infer-bert-3,1,1,1.0,477
inference-imagenet-211,660,infer-imagenet-1,1,1,5.0,3162
inference-imagenet-212,661,infer-imagenet-1,1,1,14.0,8359
inference-cifar10-213,669,infer-cifar10-3,1,1,14.0,7715
inference-deepspeech2-214,674,infer-deepspeech2-3,1,1,12.0,181
inference-yolov3-215,681,infer-yolov3-2,1,1,8.0,4594
inference-bert-216,685,infer-bert-2,1,1,1.0,1404
inference-bert-217,686,infer-bert-1,1,1,8.0,2667
inference-imagenet-218,687,infer-imagenet-3,1,1,2.0,9803
inference-yolov3-219,688,infer-yolov3-2,1,1,10.0,4880
inference-yolov3-220,694,infer-yolov3-3,1,1,14.0,3752
inference-bert-221,695,infer-bert-1,1,1,16.0,303
inference-deepspeech2-222,699,infer-deepspeech2-2,1,1,8.0,912
inference-imagenet-223,704,infer-imagenet-3,1,1,6.0,3075
inference-deepspeech2-224,715,infer-deepspeech2-3,1,1,18.0,918
inference-ncf-225,717,infer-ncf-1,1,1,2.0,4250
inference-deepspeech2-226,718,infer-deepspeech2-3,1,1,9.0,432
inference-deepspeech2-227,725,infer-deepspeech2-3,1,1,18.0,183
inference-bert-228,726,infer-bert-3,1,1,19.0,477
inference-ncf-229,726,infer-ncf-3,1,1,12.0,157
inference-deepspeech2-230,745,infer-deepspeech2-3,1,1,8.0,726
inference-bert-231,753,infer-bert-2,1,1,8.0,850
inference-bert-232,756,infer-bert-2,1,1,19.0,951
inference-cifar10-233,759,infer-cifar10-2,1,1,15.0,3867
inference-ncf-234,759,infer-ncf-2,1,1,7.0,715
inference-deepspeech2-235,762,infer-deepspeech2-1,1,1,16.0,648
inference-yolov3-236,768,infer-yolov3-3,1,1,19.0,2581
inference-ncf-237,777,infer-ncf-3,1,1,9.0,904
inference-yolov3-238,783,infer-yolov3-2,1,1,12.0,2923
inference-bert-239,786,infer-bert-3,1,1,19.0,4526
inference-ncf-240,787,infer-ncf-2,1,1,15.0,431
inference-deepspeech2-241,788,infer-deepspeech2-2,1,1,1.0,431
inference-bert-242,789,infer-bert-2,1,1,6.0,1175
inference-cifar10-243,795,infer-cifar10-1,1,1,5.0,5123
inference-imagenet-244,805,infer-imagenet-3,1,1,2.0,8916
inference-bert-245,812,infer-bert-2,1,1,11.0,3024
inference-imagenet-246,814,infer-imagenet-3,1,1,13.0,8089
inference-deepspeech2-247,821,infer-deepspeech2-1,1,1,6.0,963
inference-imagenet-248,829,infer-imagenet-1,1,1,6.0,8517
inference-ncf-249,829,infer-ncf-2,1,1,6.0,1042
inference-ncf-250,836,infer-ncf-2,1,1,16.0,3947
ncf-5,839,ncf,1,32768,4.0,-1
inference-imagenet-251,840,infer-imagenet-1,1,1,8.0,9602
inference-cifar10-252,842,infer-cifar10-2,1,1,8.0,963
inference-ncf-253,844,infer-ncf-3,1,1,18.0,640
inference-bert-254,848,infer-bert-2,1,1,18.0,1536
inference-imagenet-255,860,infer-imagenet-1,1,1,18.0,4293
inference-deepspeech2-256,865,infer-deepspeech2-1,1,1,17.0,369
inference-bert-257,866,infer-bert-3,1,1,13.0,2221
inference-imagenet-258,872,infer-imagenet-1,1,1,10.0,5362
inference-imagenet-259,878,infer-imagenet-2,1,1,10.0,454
inference-ncf-260,882,infer-ncf-2,1,1,7.0,3432
inference-ncf-261,883,infer-ncf-3,1,1,3.0,1939
inference-imagenet-262,886,infer-imagenet-2,1,1,5.0,533
inference-ncf-263,889,infer-ncf-3,1,1,11.0,3271
inference-deepspeech2-264,889,infer-deepspeech2-3,1,1,13.0,160
inference-imagenet-265,893,infer-imagenet-3,1,1,4.0,3780
inference-ncf-266,898,infer-ncf-3,1,1,16.0,1997
inference-imagenet-267,902,infer-imagenet-3,1,1,15.0,454
inference-bert-268,905,infer-bert-1,1,1,6.0,584
inference-deepspeech2-269,905,infer-deepspeech2-2,1,1,5.0,13
inference-bert-270,905,infer-bert-2,1,1,1.0,4927
inference-bert-271,911,infer-bert-3,1,1,14.0,3350
inference-ncf-272,918,infer-ncf-3,1,1,11.0,4564
inference-cifar10-273,920,infer-cifar10-1,1,1,16.0,259
inference-bert-275,922,infer-bert-3,1,1,1.0,1072
inference-ncf-274,922,infer-ncf-3,1,1,9.0,1937
inference-imagenet-276,926,infer-imagenet-1,1,1,8.0,3897
inference-imagenet-277,933,infer-imagenet-1,1,1,6.0,7413
inference-ncf-278,935,infer-ncf-1,1,1,19.0,4655
inference-cifar10-279,940,infer-cifar10-3,1,1,10.0,9255
inference-ncf-280,940,infer-ncf-1,1,1,12.0,4023
inference-bert-281,943,infer-bert-3,1,1,2.0,4918
inference-imagenet-282,944,infer-imagenet-3,1,1,16.0,8273
inference-cifar10-283,945,infer-cifar10-1,1,1,5.0,1195
inference-imagenet-284,950,infer-imagenet-3,1,1,7.0,7413
inference-imagenet-285,953,infer-imagenet-3,1,1,16.0,543
inference-ncf-286,956,infer-ncf-1,1,1,19.0,2953
inference-yolov3-287,958,infer-yolov3-3,1,1,8.0,1341
inference-ncf-288,960,infer-ncf-3,1,1,14.0,1706
inference-ncf-289,968,infer-ncf-3,1,1,15.0,4655
inference-yolov3-290,974,infer-yolov3-3,1,1,10.0,4646
inference-deepspeech2-291,982,infer-deepspeech2-2,1,1,6.0,49
inference-deepspeech2-292,983,infer-deepspeech2-2,1,1,5.0,159
inference-cifar10-293,985,infer-cifar10-2,1,1,4.0,2057
inference-yolov3-294,992,infer-yolov3-3,1,1,9.0,4165
inference-ncf-295,995,infer-ncf-3,1,1,9.0,4247
inference-bert-296,1009,infer-bert-1,1,1,5.0,4927
inference-yolov3-297,1012,infer-yolov3-2,1,1,6.0,395
inference-deepspeech2-298,1021,infer-deepspeech2-2,1,1,6.0,160
inference-ncf-299,1026,infer-ncf-1,1,1,3.0,2141
inference-bert-300,1026,infer-bert-1,1,1,15.0,388
inference-yolov3-301,1027,infer-yolov3-3,1,1,18.0,1080
inference-ncf-302,1031,infer-ncf-1,1,1,3.0,3117
inference-bert-303,1035,infer-bert-1,1,1,6.0,477
inference-imagenet-304,1038,infer-imagenet-2,1,1,7.0,4644
inference-cifar10-305,1052,infer-cifar10-3,1,1,11.0,7823
inference-deepspeech2-306,1053,infer-deepspeech2-3,1,1,1.0,432
inference-bert-307,1059,infer-bert-2,1,1,1.0,1072
inference-cifar10-308,1068,infer-cifar10-2,1,1,1.0,7692
inference-yolov3-309,1069,infer-yolov3-2,1,1,2.0,769
inference-cifar10-310,1070,infer-cifar10-2,1,1,14.0,4947
inference-bert-311,1071,infer-bert-1,1,1,15.0,1072
inference-bert-312,1083,infer-bert-1,1,1,15.0,1080
inference-deepspeech2-313,1085,infer-deepspeech2-1,1,1,18.0,638
inference-bert-314,1090,infer-bert-3,1,1,4.0,1317
inference-cifar10-315,1097,infer-cifar10-2,1,1,7.0,3867
inference-imagenet-316,1097,infer-imagenet-1,1,1,18.0,8572
inference-yolov3-317,1101,infer-yolov3-3,1,1,19.0,296
inference-yolov3-318,1103,infer-yolov3-3,1,1,18.0,4276
inference-cifar10-320,1104,infer-cifar10-3,1,1,5.0,2365
inference-ncf-321,1104,infer-ncf-1,1,1,10.0,4160
inference-cifar10-319,1104,infer-cifar10-1,1,1,11.0,7823
inference-deepspeech2-322,1106,infer-deepspeech2-3,1,1,6.0,959
inference-bert-323,1107,infer-bert-3,1,1,19.0,4835
inference-deepspeech2-324,1110,infer-deepspeech2-3,1,1,19.0,244
inference-deepspeech2-325,1114,infer-deepspeech2-1,1,1,11.0,584
inference-imagenet-326,1120,infer-imagenet-1,1,1,4.0,1680
inference-ncf-327,1122,infer-ncf-1,1,1,12.0,1042
inference-cifar10-328,1123,infer-cifar10-3,1,1,7.0,4947
inference-yolov3-329,1127,infer-yolov3-1,1,1,6.0,4329
inference-bert-330,1128,infer-bert-3,1,1,18.0,1112
inference-bert-331,1129,infer-bert-3,1,1,19.0,4110
ncf-6,1131,ncf,1,32768,4.0,-1
inference-deepspeech2-332,1135,infer-deepspeech2-1,1,1,6.0,514
inference-yolov3-334,1138,infer-yolov3-3,1,1,18.0,3250
inference-deepspeech2-333,1138,infer-deepspeech2-3,1,1,15.0,726
inference-cifar10-335,1140,infer-cifar10-3,1,1,5.0,9877
inference-yolov3-336,1140,infer-yolov3-3,1,1,11.0,2923
inference-bert-337,1146,infer-bert-3,1,1,6.0,272
inference-cifar10-338,1148,infer-cifar10-3,1,1,17.0,7692
inference-cifar10-339,1151,infer-cifar10-2,1,1,15.0,8453
inference-yolov3-340,1158,infer-yolov3-3,1,1,18.0,4639
inference-imagenet-341,1159,infer-imagenet-1,1,1,17.0,8273
inference-deepspeech2-342,1161,infer-deepspeech2-2,1,1,17.0,283
inference-deepspeech2-343,1162,infer-deepspeech2-1,1,1,1.0,739
inference-ncf-344,1172,infer-ncf-3,1,1,15.0,2849
inference-bert-345,1174,infer-bert-2,1,1,8.0,2284
inference-ncf-346,1182,infer-ncf-3,1,1,4.0,258
inference-bert-347,1185,infer-bert-2,1,1,10.0,3735
inference-bert-348,1187,infer-bert-2,1,1,10.0,1514
inference-yolov3-349,1192,infer-yolov3-2,1,1,2.0,4761
inference-yolov3-350,1196,infer-yolov3-1,1,1,13.0,2627
inference-cifar10-351,1200,infer-cifar10-1,1,1,9.0,6590
inference-bert-352,1203,infer-bert-3,1,1,15.0,4315
inference-yolov3-353,1204,infer-yolov3-1,1,1,17.0,4410
inference-ncf-354,1208,infer-ncf-3,1,1,11.0,4081
inference-bert-355,1211,infer-bert-1,1,1,9.0,1997
inference-ncf-356,1218,infer-ncf-3,1,1,18.0,4459
inference-yolov3-357,1225,infer-yolov3-3,1,1,14.0,4188
inference-yolov3-358,1227,infer-yolov3-2,1,1,12.0,2643
inference-bert-360,1227,infer-bert-2,1,1,5.0,1190
inference-imagenet-359,1227,infer-imagenet-3,1,1,12.0,9602
inference-imagenet-361,1228,infer-imagenet-1,1,1,11.0,543
inference-cifar10-362,1228,infer-cifar10-2,1,1,14.0,7495
inference-bert-363,1228,infer-bert-2,1,1,1.0,3821
inference-imagenet-364,1228,infer-imagenet-3,1,1,16.0,3897
inference-ncf-365,1229,infer-ncf-1,1,1,6.0,3890
inference-deepspeech2-366,1234,infer-deepspeech2-3,1,1,5.0,431
inference-deepspeech2-367,1241,infer-deepspeech2-1,1,1,4.0,405
inference-ncf-368,1245,infer-ncf-3,1,1,13.0,1922
inference-imagenet-369,1252,infer-imagenet-1,1,1,7.0,3780
inference-cifar10-370,1271,infer-cifar10-2,1,1,9.0,2470
inference-ncf-371,1277,infer-ncf-1,1,1,1.0,831
inference-bert-372,1279,infer-bert-2,1,1,2.0,2195
inference-cifar10-373,1282,infer-cifar10-2,1,1,3.0,5397
ncf-7,1282,ncf,1,32768,4.0,-1
inference-ncf-374,1284,infer-ncf-2,1,1,1.0,2950
inference-ncf-375,1297,infer-ncf-3,1,1,17.0,1973
inference-bert-376,1301,infer-bert-2,1,1,3.0,4830
inference-bert-377,1303,infer-bert-1,1,1,4.0,2609
inference-yolov3-378,1313,infer-yolov3-1,1,1,13.0,2944
inference-ncf-379,1314,infer-ncf-2,1,1,6.0,4301
inference-imagenet-382,1317,infer-imagenet-1,1,1,8.0,9039
inference-ncf-380,1317,infer-ncf-3,1,1,2.0,3666
inference-deepspeech2-381,1317,infer-deepspeech2-1,1,1,10.0,431
inference-bert-383,1322,infer-bert-2,1,1,6.0,4009
inference-yolov3-384,1325,infer-yolov3-1,1,1,6.0,954
inference-deepspeech2-385,1326,infer-deepspeech2-3,1,1,11.0,405
inference-yolov3-386,1327,infer-yolov3-2,1,1,6.0,1264
inference-ncf-387,1328,infer-ncf-1,1,1,10.0,2982
cifar10-8,1332,cifar10,12,4096,4.0,-1
inference-yolov3-388,1332,infer-yolov3-3,1,1,4.0,1217
inference-deepspeech2-389,1333,infer-deepspeech2-3,1,1,15.0,103
inference-imagenet-390,1336,infer-imagenet-2,1,1,8.0,7009
inference-bert-391,1338,infer-bert-1,1,1,13.0,2123
inference-ncf-392,1344,infer-ncf-1,1,1,10.0,2953
inference-bert-393,1348,infer-bert-2,1,1,11.0,4372
inference-ncf-394,1351,infer-ncf-3,1,1,10.0,2107
inference-bert-395,1358,infer-bert-1,1,1,18.0,1072
inference-bert-396,1362,infer-bert-1,1,1,5.0,2235
inference-yolov3-397,1364,infer-yolov3-3,1,1,6.0,2643
inference-ncf-398,1374,infer-ncf-3,1,1,6.0,4692
inference-yolov3-399,1375,infer-yolov3-3,1,1,14.0,4639
inference-yolov3-400,1375,infer-yolov3-1,1,1,12.0,3313
inference-cifar10-401,1376,infer-cifar10-1,1,1,8.0,5571
inference-ncf-402,1378,infer-ncf-1,1,1,6.0,2265
inference-yolov3-403,1380,infer-yolov3-1,1,1,2.0,1096
inference-deepspeech2-404,1384,infer-deepspeech2-1,1,1,18.0,585
inference-bert-405,1386,infer-bert-3,1,1,10.0,4835
inference-bert-406,1389,infer-bert-1,1,1,6.0,4315
inference-imagenet-407,1393,infer-imagenet-1,1,1,18.0,2737
inference-deepspeech2-408,1396,infer-deepspeech2-2,1,1,4.0,402
inference-ncf-409,1398,infer-ncf-1,1,1,10.0,1843
inference-ncf-410,1401,infer-ncf-3,1,1,5.0,3032
inference-cifar10-411,1402,infer-cifar10-1,1,1,18.0,2483
inference-yolov3-412,1407,infer-yolov3-2,1,1,8.0,3593
inference-bert-413,1422,infer-bert-3,1,1,5.0,1997
inference-cifar10-414,1422,infer-cifar10-3,1,1,10.0,5397
inference-yolov3-415,1426,infer-yolov3-2,1,1,5.0,1840
inference-deepspeech2-416,1434,infer-deepspeech2-3,1,1,4.0,354
inference-ncf-417,1439,infer-ncf-1,1,1,11.0,1922
inference-deepspeech2-418,1442,infer-deepspeech2-1,1,1,11.0,686
inference-cifar10-419,1444,infer-cifar10-2,1,1,11.0,8434
inference-cifar10-420,1445,infer-cifar10-3,1,1,9.0,3048
inference-imagenet-421,1446,infer-imagenet-2,1,1,2.0,8359
inference-yolov3-422,1447,infer-yolov3-1,1,1,10.0,769
inference-bert-423,1448,infer-bert-2,1,1,10.0,2291
